"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-12",,"62","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-13",,"64","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-14",,"61","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-15",,"65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-16",,"69","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-17",,"69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-18",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-19",,"63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-20",,"65","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-21",,"67","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-22",,"66","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-23",,"70","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-24",,"72","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-25",,"81","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-26",,"81","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-27",,"72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-28",,"62","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-29",,"66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-30",,"69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-31",,"62","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-01",,"66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-02",,"78","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-03",,"82","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-04",,"72","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-05",,"62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-06",,"63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-07",,"61","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-08",,"70","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-09",,"75","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-10",,"72","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-11",,"69","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-12",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-13",,"65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-14",,"64","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-15",,"66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-16",,"66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-17",,"77","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-18",,"82","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-19",,"64","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-20",,"63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-21",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-22",,"66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-23",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-24",,"67","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-25",,"64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-26",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-27",,"61","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-28",,"63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-29",,"68","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-30",,"73","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-01",,"67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-02",,"67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-03",,"62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-04",,"71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-05",,"70","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-06",,"66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-07",,"67","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-08",,"69","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-09",,"72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-10",,"68","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-11",,"71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-12",,"71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-13",,"61","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-14",,"67","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-15",,"66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-16",,"64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-17",,"66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-18",,"67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-19",,"65","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-20",,"61","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-21",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-22",,"69","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-23",,"66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-24",,"61","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-25",,"68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-26",,"65","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-27",,"64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-28",,"62","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-29",,"62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-30",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-31",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-01",,"65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-02",,"65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-03",,"73","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-04",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-05",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-06",,"70","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-07",,"67","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-08",,"68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-09",,"65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-10",,"64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-11",,"67","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-12",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-13",,"83","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-14",,"95","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-15",,"86","64"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-16",,"81","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-17",,"81","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-18",,"77","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-19",,"77","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-20",,"72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-21",,"75","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-22",,"74","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-23",,"68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-24",,"68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-25",,"67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-26",,"59","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-27",,"64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-28",,"62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-29",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-30",,"62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-31",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-01",,"65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-02",,"66","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-03",,"64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-04",,"69","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-05",,"89","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-06",,"100","71"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-07",,"91","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-08",,"71","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-09",,"60","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-10",,"64","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-11",,"71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-12",,"72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-13",,"62","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-14",,"64","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-15",,"69","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-16",,"74","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-17",,"67","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-18",,"68","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-19",,"73","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-20",,"78","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-21",,"71","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-22",,"67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-23",,"71","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-24",,"71","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-25",,"69","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-26",,"74","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-27",,"89","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-28",,"94","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-29",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-09-30",,"81","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-01",,"93","64"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-02",,"88","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-03",,"77","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-04",,"63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-05",,"70","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-06",,"61","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-07",,"61","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-08",,"61","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-09",,"67","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-10",,"66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-11",,"72","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-12",,"81","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-13",,"82","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-14",,"83","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-15",,"90","65"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-16",,"92","69"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-17",,"93","64"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-18",,"76","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-19",,"69","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-20",,"74","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-21",,"75","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-22",,"63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-23",,"66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-24",,"66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-25",,"69","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-26",,"73","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-27",,"75","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-28",,"74","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-29",,"74","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-30",,"61","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-10-31",,"75","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-01",,"77","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-02",,"77","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-03",,"66","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-04",,"71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-05",,"74","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-06",,"59","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-07",,"60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-08",,"55","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-09",,"58","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-10",,"61","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-11",,"57","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-12",,"61","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-13",,"58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-14",,"60","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-15",,"65","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-16",,"68","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-17",,"63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-18",,"63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-19",,"62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-20",,"62","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-21",,"62","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-22",,"57","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-23",,"60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-24",,"64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-25",,"59","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-26",,"62","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-27",,"63","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-28",,"60","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-29",,"62","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-11-30",,"61","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-01",,"63","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-02",,"63","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-03",,"62","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-04",,"65","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-05",,"60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-06",,"61","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-07",,"71","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-08",,"71","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-09",,"65","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-10",,"63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-11",,"55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-12",,"56","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-13",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-14",,"57","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-15",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-16",,"59","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-17",,"56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-18",,"61","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-19",,"56","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-20",,"58","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-21",,"59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-22",,"58","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-23",,"58","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-24",,"57","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-25",,"59","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-26",,"57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-27",,"57","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-28",,"54","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-29",,"60","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-30",,"54","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-12-31",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-01",,"58","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-02",,"52","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-03",,"53","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-04",,"59","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-05",,"55","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-06",,"55","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-07",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-08",,"56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-09",,"60","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-01-10",,"55","46"
